"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Cotopaxi - Pangua - Moraspungo";7;30;1;0;0,43;0;0,57;"Operativos Regulares frecuentes"
"Cotopaxi - Pangua - Ramon Campana";1;1;0;1;1;0;0;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Pujili";13;43;0,62;0,38;0,23;0,38;0,38;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Angamarca";4;42;0,75;0,25;0,5;0;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Guancaje";6;44;1;0;0,33;0,17;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Tingo";9;38;0,56;0,44;0,44;0,22;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Tingo";6;49;0,67;0,33;0,33;0;0,67;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Zumbahua";9;40;0,44;0,56;0,22;0,44;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - San Miguel";21;40;0,86;0,14;0,38;0,29;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Antonio Jose Holguin (Santa Lucia)";6;36;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Cusubamba";2;46;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Mulalillo";4;58;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Pansaleo";3;23;1;0;0,33;0;0,67;"Operativos Regulares frecuentes"
"Cotopaxi - Saquisili - Saquisili";8;42;0,75;0,25;0,25;0,62;0,12;"Operativos Regulares frecuentes"
"Cotopaxi - Saquisili - Canchagua";2;35;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Saquisili - Cochapamba";1;1;1;0;1;0;0;"Operativos Regulares frecuentes"
"Cotopaxi - Sigchos - Sigchos";5;54;0,8;0,2;0,2;0,2;0,6;"Operativos Regulares frecuentes"
"Cotopaxi - Sigchos - Chugchillan (Chugchilan)";5;25;0,6;0,4;0;0,4;0,6;"Operativos Regulares frecuentes"
"Cotopaxi - Sigchos - Isinlivi";1;75;0;1;0;0;1;"Operativos Regulares frecuentes"
